tournament,city,country,date,tournament_type,discipline,round,winner,nb_sets,retired,game_1_score,game_2_score,game_3_score,team_one_players,team_two_players,team_one_nationalities,team_two_nationalities,team_one_total_points,team_two_total_points,team_one_most_consecutive_points,team_two_most_consecutive_points,team_one_game_points,team_two_game_points,team_one_most_consecutive_points_game_1,team_two_most_consecutive_points_game_1,team_one_game_points_game_1,team_two_game_points_game_1,game_1_scores,team_one_most_consecutive_points_game_2,team_two_most_consecutive_points_game_2,team_one_game_points_game_2,team_two_game_points_game_2,game_2_scores,team_one_most_consecutive_points_game_3,team_two_most_consecutive_points_game_3,team_one_game_points_game_3,team_two_game_points_game_3,game_3_scores
PERODUA Malaysia Masters 2018,Bukit Jalil,Malaysia,19-01-2018,HSBC BWF World Tour Super 500,MS,Quarter final,1,3,False,21-15,19-21,21-12,Viktor Axelsen,Jonatan Christie,DEN,INA,61,48,5,4,3,2,5,4,2,0,"['0-0', '0-1', '1-1', '1-2', '1-3', '1-4', '1-5', '2-5', '3-5', '4-5', '4-6', '4-7', '5-7', '6-7', '7-7', '8-7', '9-7', '9-8', '10-8', '11-8', '12-8', '12-9', '13-9', '14-9', '15-9', '15-10', '16-10', '17-10', '18-10', '18-11', '19-11', '19-12', '19-13', '19-14', '20-14', '20-15', '21-15']",3.0,3.0,0.0,2.0,"['0-0', '0-1', '0-2', '0-3', '1-3', '2-3', '2-4', '2-5', '3-5', '4-5', '4-6', '4-7', '5-7', '6-7', '6-8', '7-8', '8-8', '9-8', '9-9', '10-9', '11-9', '12-9', '12-10', '12-11', '12-12', '13-12', '13-13', '13-14', '14-14', '14-15', '15-15', '16-15', '17-15', '17-16', '17-17', '18-17', '18-18', '18-19', '18-20', '19-20', '19-21']",5.0,4.0,1.0,0.0,"['0-0', '0-1', '1-1', '2-1', '3-1', '3-2', '4-2', '5-2', '6-2', '7-2', '8-2', '8-3', '9-3', '9-4', '10-4', '10-5', '11-5', '12-5', '12-6', '12-7', '12-8', '12-9', '13-9', '14-9', '14-10', '14-11', '15-11', '16-11', '16-12', '17-12', '18-12', '19-12', '20-12', '21-12']"
PERODUA Malaysia Masters 2018,Bukit Jalil,Malaysia,19-01-2018,HSBC BWF World Tour Super 500,MS,Quarter final,2,3,False,21-18,19-21,16-21,Ka Long Angus Ng,Kenta Nishimoto,HKG,JPN,56,60,6,3,4,10,5,3,4,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '5-0', '5-1', '5-2', '5-3', '6-3', '7-3', '7-4', '7-5', '7-6', '8-6', '8-7', '9-7', '10-7', '10-8', '11-8', '11-9', '12-9', '13-9', '13-10', '14-10', '14-11', '15-11', '16-11', '17-11', '18-11', '18-12', '18-13', '18-14', '19-14', '19-15', '20-15', '20-16', '20-17', '20-18', '21-18']",6.0,3.0,0.0,7.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '2-4', '3-4', '4-4', '4-5', '4-6', '4-7', '5-7', '5-8', '6-8', '6-9', '6-10', '6-11', '7-11', '7-12', '7-13', '8-13', '9-13', '10-13', '10-14', '10-15', '11-15', '11-16', '12-16', '12-17', '12-18', '13-18', '13-19', '13-20', '14-20', '15-20', '16-20', '17-20', '18-20', '19-20', '19-21']",4.0,3.0,0.0,3.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '2-4', '2-5', '3-5', '4-5', '5-5', '6-5', '6-6', '6-7', '6-8', '7-8', '7-9', '8-9', '8-10', '9-10', '9-11', '9-12', '9-13', '10-13', '11-13', '11-14', '11-15', '12-15', '12-16', '12-17', '12-18', '13-18', '14-18', '14-19', '14-20', '15-20', '16-20', '16-21']"
PERODUA Malaysia Masters 2018,Bukit Jalil,Malaysia,19-01-2018,HSBC BWF World Tour Super 500,MS,Quarter final,1,2,False,21-19,21-16,,Hans-Kristian Solberg Vittinghus,Anthony Sinisuka Ginting,DEN,INA,42,35,4,3,5,0,4,3,3,0,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '3-3', '4-3', '5-3', '6-3', '7-3', '7-4', '7-5', '8-5', '8-6', '9-6', '9-7', '10-7', '11-7', '11-8', '11-9', '12-9', '12-10', '13-10', '14-10', '15-10', '15-11', '16-11', '16-12', '16-13', '16-14', '17-14', '17-15', '17-16', '18-16', '19-16', '19-17', '20-17', '20-18', '20-19', '21-19']",4.0,3.0,2.0,0.0,"['0-0', '1-0', '2-0', '2-1', '3-1', '4-1', '4-2', '5-2', '5-3', '6-3', '7-3', '7-4', '8-4', '8-5', '9-5', '9-6', '10-6', '10-7', '11-7', '11-8', '12-8', '13-8', '14-8', '15-8', '15-9', '15-10', '16-10', '17-10', '17-11', '17-12', '17-13', '18-13', '19-13', '19-14', '19-15', '20-15', '20-16', '21-16']",,,,,[]
PERODUA Malaysia Masters 2018,Bukit Jalil,Malaysia,19-01-2018,HSBC BWF World Tour Super 500,MS,Quarter final,1,2,False,21-18,21-17,,Daren Liew,Suppanyu Avihingsanon,MAS,THA,42,35,5,4,2,0,3,4,1,0,"['0-0', '1-0', '2-0', '3-0', '3-1', '3-2', '4-2', '5-2', '6-2', '6-3', '6-4', '6-5', '7-5', '7-6', '8-6', '9-6', '10-6', '10-7', '10-8', '10-9', '10-10', '11-10', '11-11', '11-12', '11-13', '12-13', '13-13', '14-13', '14-14', '14-15', '15-15', '16-15', '16-16', '16-17', '17-17', '18-17', '19-17', '19-18', '20-18', '21-18']",5.0,3.0,1.0,0.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '3-3', '3-4', '3-5', '4-5', '4-6', '5-6', '5-7', '5-8', '5-9', '6-9', '7-9', '8-9', '9-9', '9-10', '10-10', '10-11', '11-11', '11-12', '12-12', '13-12', '14-12', '15-12', '16-12', '16-13', '17-13', '17-14', '18-14', '18-15', '18-16', '19-16', '19-17', '20-17', '21-17']",,,,,[]
PERODUA Malaysia Masters 2018,Bukit Jalil,Malaysia,20-01-2018,HSBC BWF World Tour Super 500,MS,Semi final,2,2,False,14-21,19-21,,Hans-Kristian Solberg Vittinghus,Kenta Nishimoto,DEN,JPN,33,42,6,6,0,2,2,6,0,1,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2', '3-3', '3-4', '3-5', '4-5', '4-6', '4-7', '5-7', '6-7', '6-8', '7-8', '8-8', '8-9', '8-10', '8-11', '8-12', '8-13', '8-14', '9-14', '9-15', '10-15', '11-15', '11-16', '12-16', '12-17', '12-18', '12-19', '13-19', '14-19', '14-20', '14-21']",6.0,5.0,0.0,1.0,"['0-0', '0-1', '0-2', '1-2', '2-2', '3-2', '4-2', '4-3', '4-4', '4-5', '5-5', '5-6', '5-7', '5-8', '5-9', '5-10', '6-10', '6-11', '7-11', '8-11', '9-11', '10-11', '11-11', '12-11', '12-12', '12-13', '12-14', '12-15', '12-16', '13-16', '14-16', '15-16', '15-17', '16-17', '17-17', '17-18', '18-18', '19-18', '19-19', '19-20', '19-21']",,,,,[]
PERODUA Malaysia Masters 2018,Bukit Jalil,Malaysia,20-01-2018,HSBC BWF World Tour Super 500,MS,Semi final,1,2,False,21-15,21-11,,Viktor Axelsen,Daren Liew,DEN,MAS,42,26,5,3,3,0,5,3,1,0,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '2-4', '3-4', '4-4', '5-4', '6-4', '6-5', '6-6', '6-7', '7-7', '7-8', '8-8', '8-9', '9-9', '10-9', '11-9', '12-9', '12-10', '12-11', '13-11', '13-12', '14-12', '15-12', '16-12', '16-13', '17-13', '18-13', '18-14', '18-15', '19-15', '20-15', '21-15']",5.0,3.0,2.0,0.0,"['0-0', '1-0', '1-1', '2-1', '3-1', '4-1', '5-1', '6-1', '6-2', '6-3', '6-4', '7-4', '7-5', '7-6', '8-6', '9-6', '10-6', '10-7', '10-8', '11-8', '12-8', '13-8', '14-8', '14-9', '15-9', '16-9', '16-10', '17-10', '18-10', '19-10', '20-10', '20-11', '21-11']",,,,,[]
PERODUA Malaysia Masters 2018,Bukit Jalil,Malaysia,21-01-2018,HSBC BWF World Tour Super 500,MS,Final,1,3,False,21-13,21-23,21-18,Viktor Axelsen,Kenta Nishimoto,DEN,JPN,63,54,7,6,4,1,7,6,1,0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '4-2', '5-2', '5-3', '5-4', '5-5', '5-6', '5-7', '5-8', '6-8', '7-8', '8-8', '9-8', '9-9', '10-9', '11-9', '11-10', '11-11', '12-11', '13-11', '14-11', '15-11', '16-11', '17-11', '18-11', '18-12', '19-12', '19-13', '20-13', '21-13']",4.0,4.0,2.0,1.0,"['0-0', '0-1', '1-1', '1-2', '1-3', '1-4', '1-5', '2-5', '3-5', '3-6', '3-7', '4-7', '4-8', '4-9', '5-9', '5-10', '6-10', '7-10', '8-10', '9-10', '9-11', '9-12', '10-12', '11-12', '11-13', '12-13', '13-13', '13-14', '14-14', '15-14', '16-14', '16-15', '17-15', '17-16', '17-17', '18-17', '18-18', '18-19', '19-19', '20-19', '20-20', '21-20', '21-21', '21-22', '21-23']",4.0,5.0,1.0,0.0,"['0-0', '1-0', '2-0', '3-0', '4-0', '4-1', '5-1', '5-2', '5-3', '6-3', '7-3', '8-3', '8-4', '8-5', '8-6', '9-6', '10-6', '11-6', '11-7', '11-8', '11-9', '11-10', '12-10', '13-10', '14-10', '14-11', '15-11', '15-12', '15-13', '15-14', '15-15', '15-16', '16-16', '16-17', '17-17', '18-17', '19-17', '19-18', '20-18', '21-18']"
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,23-01-2018,HSBC BWF World Tour Super 500,MS,Qualification round of 16,1,3,False,21-16,8-21,21-14,Kantaphon Wangcharoen,Firman Abdul Kholik,THA,INA,50,51,7,8,6,1,7,2,3,0,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '3-3', '3-4', '4-4', '5-4', '6-4', '6-5', '7-5', '7-6', '7-7', '8-7', '8-8', '9-8', '10-8', '10-9', '10-10', '11-10', '11-11', '12-11', '13-11', '14-11', '15-11', '16-11', '17-11', '18-11', '18-12', '18-13', '19-13', '19-14', '20-14', '20-15', '20-16', '21-16']",2.0,8.0,0.0,1.0,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '0-6', '0-7', '0-8', '1-8', '2-8', '2-9', '3-9', '3-10', '4-10', '4-11', '5-11', '5-12', '5-13', '6-13', '6-14', '6-15', '7-15', '8-15', '8-16', '8-17', '8-18', '8-19', '8-20', '8-21']",7.0,2.0,3.0,0.0,"['0-0', '1-0', '2-0', '2-1', '2-2', '3-2', '3-3', '3-4', '4-4', '5-4', '6-4', '7-4', '8-4', '9-4', '10-4', '10-5', '11-5', '12-5', '12-6', '13-6', '13-7', '14-7', '15-7', '15-8', '16-8', '16-9', '17-9', '17-10', '18-10', '19-10', '19-11', '19-12', '20-12', '20-13', '20-14', '21-14']"
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,23-01-2018,HSBC BWF World Tour Super 500,MS,Qualification round of 16,2,3,False,14-21,21-16,14-21,Krishna Adi Nugraha,Saputra Vicky Angga,INA,INA,49,58,5,5,2,3,4,4,0,2,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '1-5', '2-5', '2-6', '2-7', '2-8', '3-8', '3-9', '3-10', '3-11', '4-11', '5-11', '5-12', '5-13', '5-14', '5-15', '6-15', '6-16', '7-16', '8-16', '8-17', '9-17', '9-18', '10-18', '11-18', '12-18', '13-18', '13-19', '13-20', '14-20', '14-21']",5.0,5.0,2.0,0.0,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2', '4-2', '4-3', '5-3', '5-4', '5-5', '6-5', '7-5', '8-5', '9-5', '10-5', '10-6', '10-7', '11-7', '12-7', '13-7', '13-8', '14-8', '14-9', '15-9', '16-9', '16-10', '16-11', '16-12', '16-13', '16-14', '17-14', '17-15', '18-15', '19-15', '20-15', '20-16', '21-16']",4.0,4.0,0.0,1.0,"['0-0', '0-1', '0-2', '0-3', '1-3', '2-3', '2-4', '3-4', '3-5', '3-6', '3-7', '3-8', '4-8', '5-8', '5-9', '5-10', '6-10', '6-11', '7-11', '8-11', '8-12', '8-13', '9-13', '9-14', '9-15', '10-15', '11-15', '12-15', '13-15', '13-16', '13-17', '13-18', '13-19', '14-19', '14-20', '14-21']"
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,23-01-2018,HSBC BWF World Tour Super 500,MS,Qualification round of 16,1,3,False,21-15,18-21,21-19,Shesar Hiren Rhustavito,Enzi Shafira,INA,INA,60,55,6,5,2,2,6,3,1,0,"['0-0', '0-1', '0-2', '1-2', '2-2', '3-2', '3-3', '4-3', '4-4', '5-4', '6-4', '6-5', '7-5', '7-6', '7-7', '8-7', '9-7', '9-8', '9-9', '9-10', '10-10', '11-10', '12-10', '12-11', '12-12', '13-12', '13-13', '14-13', '15-13', '16-13', '17-13', '18-13', '19-13', '19-14', '19-15', '20-15', '21-15']",3.0,5.0,0.0,2.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '2-4', '2-5', '2-6', '2-7', '3-7', '3-8', '4-8', '4-9', '4-10', '5-10', '5-11', '5-12', '6-12', '6-13', '7-13', '8-13', '9-13', '9-14', '10-14', '11-14', '11-15', '11-16', '12-16', '13-16', '13-17', '13-18', '14-18', '15-18', '15-19', '16-19', '17-19', '17-20', '18-20', '18-21']",6.0,3.0,1.0,0.0,"['0-0', '0-1', '1-1', '2-1', '3-1', '4-1', '5-1', '5-2', '5-3', '6-3', '7-3', '7-4', '7-5', '7-6', '8-6', '8-7', '8-8', '9-8', '10-8', '11-8', '12-8', '12-9', '12-10', '12-11', '13-11', '13-12', '13-13', '13-14', '14-14', '14-15', '14-16', '15-16', '15-17', '15-18', '15-19', '16-19', '17-19', '18-19', '19-19', '20-19', '21-19']"
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,23-01-2018,HSBC BWF World Tour Super 500,MS,Qualification round of 16,1,2,False,21-9,23-21,,Panji Ahmad Maulana,Subhankar Dey,INA,IND,44,30,6,3,3,1,6,2,1,0,"['0-0', '1-0', '2-0', '2-1', '3-1', '4-1', '5-1', '5-2', '6-2', '6-3', '7-3', '8-3', '9-3', '10-3', '11-3', '12-3', '12-4', '12-5', '13-5', '13-6', '14-6', '15-6', '16-6', '17-6', '18-6', '18-7', '19-7', '19-8', '19-9', '20-9', '21-9']",4.0,3.0,2.0,1.0,"['0-0', '1-0', '1-1', '2-1', '3-1', '4-1', '5-1', '5-2', '5-3', '5-4', '6-4', '7-4', '7-5', '8-5', '8-6', '8-7', '8-8', '9-8', '10-8', '10-9', '11-9', '12-9', '12-10', '13-10', '13-11', '13-12', '13-13', '14-13', '15-13', '15-14', '16-14', '16-15', '16-16', '17-16', '17-17', '18-17', '19-17', '19-18', '19-19', '20-19', '20-20', '20-21', '21-21', '22-21', '23-21']",,,,,[]
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,23-01-2018,HSBC BWF World Tour Super 500,MS,Qualification round of 16,1,2,False,22-20,21-14,,Vega Vio Nirwanda,Abhishek Yelegar,INA,IND,43,34,8,5,3,2,6,5,1,2,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '3-3', '3-4', '3-5', '4-5', '5-5', '5-6', '6-6', '7-6', '8-6', '9-6', '10-6', '11-6', '11-7', '12-7', '13-7', '14-7', '14-8', '14-9', '15-9', '15-10', '15-11', '15-12', '16-12', '17-12', '17-13', '17-14', '17-15', '18-15', '18-16', '18-17', '18-18', '18-19', '18-20', '19-20', '20-20', '21-20', '22-20']",8.0,2.0,2.0,0.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '4-2', '4-3', '5-3', '5-4', '6-4', '6-5', '6-6', '7-6', '7-7', '8-7', '8-8', '8-9', '9-9', '9-10', '10-10', '10-11', '11-11', '12-11', '12-12', '12-13', '13-13', '14-13', '15-13', '16-13', '17-13', '18-13', '19-13', '20-13', '20-14', '21-14']",,,,,[]
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,23-01-2018,HSBC BWF World Tour Super 500,MS,Qualification round of 16,1,3,False,21-11,17-21,21-18,Sony Dwi Kuncoro,Chico Aura Dwi Wardoyo,INA,INA,59,50,6,4,2,1,6,2,1,0,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '2-4', '3-4', '3-5', '4-5', '5-5', '6-5', '6-6', '7-6', '8-6', '9-6', '10-6', '11-6', '11-7', '11-8', '12-8', '13-8', '13-9', '13-10', '14-10', '15-10', '15-11', '16-11', '17-11', '18-11', '19-11', '20-11', '21-11']",4.0,4.0,0.0,1.0,"['0-0', '0-1', '1-1', '1-2', '1-3', '2-3', '2-4', '3-4', '4-4', '5-4', '6-4', '6-5', '7-5', '8-5', '8-6', '8-7', '8-8', '8-9', '9-9', '9-10', '9-11', '9-12', '9-13', '10-13', '10-14', '11-14', '12-14', '13-14', '14-14', '14-15', '14-16', '15-16', '15-17', '16-17', '17-17', '17-18', '17-19', '17-20', '17-21']",5.0,4.0,1.0,0.0,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '3-3', '3-4', '3-5', '3-6', '4-6', '5-6', '6-6', '7-6', '8-6', '8-7', '9-7', '9-8', '10-8', '10-9', '10-10', '11-10', '12-10', '12-11', '13-11', '13-12', '14-12', '14-13', '15-13', '16-13', '16-14', '16-15', '16-16', '16-17', '17-17', '18-17', '18-18', '19-18', '20-18', '21-18']"
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,23-01-2018,HSBC BWF World Tour Super 500,MS,Qualification round of 16,2,3,False,21-17,10-21,16-21,Chao Yu Kan,Lucas Corvee,TPE,FRA,47,59,6,13,1,2,4,3,1,0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '3-3', '4-3', '4-4', '4-5', '4-6', '5-6', '6-6', '7-6', '7-7', '8-7', '9-7', '9-8', '10-8', '10-9', '10-10', '10-11', '11-11', '11-12', '12-12', '12-13', '13-13', '14-13', '15-13', '15-14', '16-14', '17-14', '18-14', '19-14', '19-15', '19-16', '19-17', '20-17', '21-17']",2.0,11.0,0.0,1.0,"['0-0', '0-1', '0-2', '1-2', '2-2', '2-3', '3-3', '4-3', '4-4', '4-5', '5-5', '5-6', '6-6', '6-7', '7-7', '7-8', '8-8', '8-9', '8-10', '9-10', '10-10', '10-11', '10-12', '10-13', '10-14', '10-15', '10-16', '10-17', '10-18', '10-19', '10-20', '10-21']",6.0,4.0,0.0,1.0,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '2-4', '3-4', '3-5', '3-6', '4-6', '4-7', '5-7', '5-8', '5-9', '6-9', '6-10', '6-11', '6-12', '7-12', '8-12', '9-12', '10-12', '11-12', '12-12', '12-13', '13-13', '13-14', '14-14', '14-15', '15-15', '15-16', '15-17', '16-17', '16-18', '16-19', '16-20', '16-21']"
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,23-01-2018,HSBC BWF World Tour Super 500,MS,Qualification round of 16,0,2,True,21-15,2-0,,Kim Bruun,Fikri Ihsandi Hadmadi,DEN,INA,23,15,4,2,1,0,4,2,1,0,"['0-0', '0-1', '1-1', '2-1', '3-1', '3-2', '3-3', '4-3', '4-4', '5-4', '5-5', '6-5', '7-5', '7-6', '7-7', '8-7', '8-8', '9-8', '9-9', '10-9', '11-9', '12-9', '12-10', '13-10', '14-10', '14-11', '14-12', '15-12', '15-13', '15-14', '16-14', '17-14', '18-14', '19-14', '19-15', '20-15', '21-15']",2.0,0.0,0.0,0.0,"['0-0', '1-0', '2-0']",,,,,[]
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,23-01-2018,HSBC BWF World Tour Super 500,MS,Qualification quarter final,2,2,False,18-21,9-21,,Vega Vio Nirwanda,Sony Dwi Kuncoro,INA,INA,27,42,3,7,0,3,3,7,0,2,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '0-6', '0-7', '1-7', '1-8', '2-8', '3-8', '4-8', '4-9', '5-9', '6-9', '7-9', '7-10', '8-10', '9-10', '9-11', '9-12', '10-12', '11-12', '11-13', '11-14', '11-15', '11-16', '12-16', '13-16', '14-16', '14-17', '14-18', '15-18', '15-19', '16-19', '17-19', '17-20', '18-20', '18-21']",3.0,6.0,0.0,1.0,"['0-0', '0-1', '1-1', '1-2', '1-3', '1-4', '1-5', '1-6', '1-7', '2-7', '2-8', '3-8', '3-9', '4-9', '5-9', '6-9', '6-10', '6-11', '6-12', '6-13', '6-14', '7-14', '7-15', '7-16', '7-17', '7-18', '8-18', '8-19', '9-19', '9-20', '9-21']",,,,,[]
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,23-01-2018,HSBC BWF World Tour Super 500,MS,Qualification quarter final,1,2,False,21-13,21-19,,Lucas Corvee,Panji Ahmad Maulana,FRA,INA,42,32,7,4,3,0,7,4,1,0,"['0-0', '1-0', '2-0', '3-0', '3-1', '3-2', '4-2', '4-3', '4-4', '4-5', '4-6', '5-6', '5-7', '6-7', '7-7', '7-8', '8-8', '9-8', '10-8', '11-8', '11-9', '11-10', '12-10', '12-11', '13-11', '14-11', '14-12', '14-13', '15-13', '16-13', '17-13', '18-13', '19-13', '20-13', '21-13']",5.0,4.0,2.0,0.0,"['0-0', '0-1', '0-2', '1-2', '1-3', '2-3', '2-4', '2-5', '3-5', '4-5', '5-5', '5-6', '6-6', '7-6', '8-6', '9-6', '9-7', '10-7', '10-8', '10-9', '11-9', '11-10', '11-11', '11-12', '12-12', '13-12', '13-13', '13-14', '14-14', '15-14', '16-14', '17-14', '18-14', '18-15', '18-16', '18-17', '18-18', '19-18', '20-18', '20-19', '21-19']",,,,,[]
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,23-01-2018,HSBC BWF World Tour Super 500,MS,Qualification quarter final,1,2,False,21-13,21-12,,Kantaphon Wangcharoen,Saputra Vicky Angga,THA,INA,42,25,8,3,3,0,6,3,1,0,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2', '4-2', '5-2', '5-3', '5-4', '6-4', '7-4', '8-4', '8-5', '9-5', '9-6', '9-7', '9-8', '10-8', '11-8', '11-9', '12-9', '12-10', '13-10', '14-10', '15-10', '16-10', '17-10', '18-10', '18-11', '18-12', '18-13', '19-13', '20-13', '21-13']",8.0,2.0,2.0,0.0,"['0-0', '1-0', '2-0', '2-1', '3-1', '4-1', '4-2', '5-2', '5-3', '6-3', '7-3', '8-3', '9-3', '10-3', '11-3', '12-3', '13-3', '13-4', '14-4', '14-5', '14-6', '15-6', '15-7', '15-8', '16-8', '17-8', '18-8', '18-9', '19-9', '19-10', '19-11', '20-11', '20-12', '21-12']",,,,,[]
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,23-01-2018,HSBC BWF World Tour Super 500,MS,Qualification quarter final,1,3,False,21-15,19-21,21-15,Shesar Hiren Rhustavito,Kim Bruun,INA,DEN,61,51,6,4,3,2,6,3,1,0,"['0-0', '0-1', '0-2', '0-3', '1-3', '2-3', '2-4', '2-5', '3-5', '4-5', '5-5', '6-5', '7-5', '8-5', '8-6', '9-6', '10-6', '11-6', '12-6', '12-7', '12-8', '13-8', '13-9', '14-9', '15-9', '16-9', '16-10', '16-11', '16-12', '17-12', '17-13', '17-14', '18-14', '18-15', '19-15', '20-15', '21-15']",5.0,4.0,0.0,2.0,"['0-0', '0-1', '1-1', '1-2', '1-3', '1-4', '2-4', '3-4', '4-4', '4-5', '5-5', '5-6', '5-7', '5-8', '6-8', '6-9', '7-9', '8-9', '9-9', '9-10', '10-10', '10-11', '10-12', '10-13', '11-13', '11-14', '11-15', '11-16', '11-17', '12-17', '13-17', '14-17', '15-17', '16-17', '16-18', '16-19', '17-19', '18-19', '18-20', '19-20', '19-21']",5.0,2.0,2.0,0.0,"['0-0', '0-1', '0-2', '1-2', '1-3', '2-3', '3-3', '4-3', '5-3', '6-3', '6-4', '7-4', '8-4', '8-5', '9-5', '9-6', '9-7', '10-7', '11-7', '11-8', '12-8', '13-8', '13-9', '14-9', '14-10', '15-10', '16-10', '16-11', '17-11', '17-12', '17-13', '18-13', '19-13', '19-14', '20-14', '20-15', '21-15']"
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,24-01-2018,HSBC BWF World Tour Super 500,MS,Round of 32,1,2,False,21-13,21-7,,Viktor Axelsen,Jen Hao Hsu,DEN,TPE,42,20,8,4,3,0,6,4,2,0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '4-2', '5-2', '6-2', '6-3', '7-3', '7-4', '8-4', '8-5', '8-6', '9-6', '10-6', '11-6', '12-6', '13-6', '14-6', '14-7', '14-8', '15-8', '16-8', '16-9', '16-10', '16-11', '16-12', '17-12', '18-12', '19-12', '20-12', '20-13', '21-13']",8.0,2.0,1.0,0.0,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '4-2', '5-2', '6-2', '7-2', '8-2', '9-2', '9-3', '10-3', '10-4', '10-5', '11-5', '12-5', '13-5', '14-5', '15-5', '16-5', '17-5', '17-6', '18-6', '19-6', '19-7', '20-7', '21-7']",,,,,[]
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,24-01-2018,HSBC BWF World Tour Super 500,MS,Round of 32,2,3,False,16-21,21-12,10-21,Sameer Verma,Kazumasa Sakai,IND,JPN,47,54,5,8,3,5,4,3,0,1,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '2-4', '3-4', '4-4', '5-4', '5-5', '6-5', '6-6', '7-6', '7-7', '8-7', '8-8', '8-9', '9-9', '9-10', '9-11', '10-11', '10-12', '10-13', '11-13', '12-13', '12-14', '13-14', '13-15', '14-15', '14-16', '14-17', '14-18', '15-18', '15-19', '16-19', '16-20', '16-21']",5.0,4.0,3.0,0.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '5-1', '6-1', '7-1', '8-1', '8-2', '9-2', '9-3', '10-3', '11-3', '12-3', '12-4', '12-5', '12-6', '12-7', '13-7', '13-8', '14-8', '15-8', '15-9', '15-10', '16-10', '17-10', '18-10', '19-10', '20-10', '20-11', '20-12', '21-12']",3.0,8.0,0.0,4.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '3-2', '3-3', '3-4', '3-5', '4-5', '4-6', '4-7', '5-7', '6-7', '6-8', '6-9', '6-10', '6-11', '6-12', '6-13', '6-14', '6-15', '7-15', '7-16', '7-17', '7-18', '7-19', '7-20', '8-20', '9-20', '10-20', '10-21']"
